frame,keyword,character
1,one,一
2,two,二
3,three,三
4,four,四
5,five,五
6,six,六
7,seven,七
8,eight,八
9,nine,九
10,ten,十
11,mouth,口
12,day,日
13,month,月
14,rice field,田
15,eye,目
16,old,古
17,I,吾
18,risk,冒
19,companion,朋
20,bright,明
21,chant,唱
22,sparkle,晶
23,goods,品
24,spine,呂
25,prosperous,昌
26,early,早
27,rising sun,旭
28,generation,世
29,stomach,胃
30,nightbreak,旦
31,gall bladder,胆
32,span,亘
33,concave,凹
34,convex,凸
35,olden times,旧
36,oneself,自
37,white,白
38,hundred,百
39,in,中
40,thousand,千
41,tongue,舌
42,measuring box,升
43,rise up,昇
44,round,丸
45,measurement,寸
46,elbow,肘
47,specialty,専
48,Dr.,博
49,fortune-telling,占
50,above,上
51,below,下
52,eminent,卓
53,morning,朝
54,derision,嘲
55,only,只
56,shellfish,貝
57,pop song,唄
58,upright,貞
59,employee,員
60,post a bill,貼
61,see,見
62,newborn babe,児
63,beginning,元
64,page,頁
65,stubborn,頑
66,mediocre,凡
67,defeat,負
68,ten thousand,万
69,phrase,句
70,texture,肌
71,decameron,旬
72,ladle,勺
73,bull´s eye,的
74,neck,首
75,fish guts,乙
76,riot,乱
77,straightaway,直
78,tool,具
79,true,真
80,craft,工
81,left,左
82,right,右
83,possess,有
84,bribe,賄
85,tribute,貢
86,paragraph,項
87,sword,刀
88,blade,刃
89,cut,切
90,seduce,召
91,shining,昭
92,rule,則
93,vice-,副
94,separate,別
95,street,丁
96,town,町
97,can,可
98,place on the head,頂
99,child,子
100,cavity,孔
101,complete,了
102,woman,女
103,fond,好
104,likeness,如
105,mama,母
106,pierce,貫
107,elder brother,兄
108,curse,呪
109,overcome,克
110,little,小
111,few,少
112,large,大
113,many,多
114,evening,夕
115,eventide,汐
116,outside,外
117,name,名
118,stone,石
119,resemblance,肖
120,nitrate,硝
121,smash,砕
122,sand,砂
123,jealous,妬
124,plane,削
125,ray,光
126,plump,太
127,utensil,器
128,stinking,臭
129,sniff,嗅
130,exquisite,妙
131,focus,省
132,thick,厚
133,strange,奇
134,stream,川
135,state,州
136,obey,順
137,water,水
138,icicle,氷
139,eternity,永
140,spring,泉
141,gland,腺
142,meadow,原
143,petition,願
144,swim,泳
145,marsh,沼
146,open sea,沖
147,pan-,汎
148,creek,江
149,cleanse,汰
150,soup,汁
151,grains of sand,沙
152,tide,潮
153,source,源
154,lively,活
155,extinguish,消
156,but of course,況
157,river,河
158,overnight,泊
159,lake,湖
160,fathom,測
161,soil,土
162,spit,吐
163,pressure,圧
164,cape,埼
165,hedge,垣
166,inlay,填
166,inlay,塡
167,squared jewel,圭
168,seal,封
169,horizon,涯
170,Buddhist temple,寺
171,time,時
172,level,均
173,fire,火
174,inflammation,炎
175,anxiety,煩
176,thin,淡
177,lamp,灯
178,farm,畑
179,disaster,災
180,ashes,灰
181,spot,点
182,illuminate,照
183,fish,魚
184,fishing,漁
185,ri,里
186,black,黒
187,black ink,墨
188,carp,鯉
189,quantity,量
190,rin,厘
191,bury,埋
192,same,同
193,den,洞
